full_name,ticker,date,open,high,low,close,average_price,volume
Nasdaq100_CFD,IBUST100,2020-03-05 16:00:00,8830.115,8832.7,8779.595,8780.1,8806.1475,0
Nasdaq100_CFD,IBUST100,2020-03-05 17:00:00,8780.1,8782.475,8748.585,8763.12,8765.529999999999,0
Nasdaq100_CFD,IBUST100,2020-03-05 18:00:00,8763.12,8765.24,8710.0,8717.0,8737.619999999999,0
Nasdaq100_CFD,IBUST100,2020-03-05 19:00:00,8717.0,8746.46,8707.815,8733.8,8727.1375,0
Nasdaq100_CFD,IBUST100,2020-03-05 20:00:00,8733.8,8751.285,8718.7,8721.285,8734.9925,0
Nasdaq100_CFD,IBUST100,2020-03-05 21:00:00,8721.285,8743.965,8683.5,8716.28,8713.7325,0
Nasdaq100_CFD,IBUST100,2020-03-05 22:00:00,8716.28,8779.785,8670.835,8735.115,8725.31,0
Nasdaq100_CFD,IBUST100,2020-03-05 23:00:00,8735.115,8828.66,8717.32,8795.96,8772.99,0
Nasdaq100_CFD,IBUST100,2020-03-06 00:00:00,8795.96,8867.945,8776.4,8788.275,8822.1725,0
Nasdaq100_CFD,IBUST100,2020-03-06 01:00:00,8788.275,8798.505,8674.555,8687.07,8736.529999999999,0
Nasdaq100_CFD,IBUST100,2020-03-06 02:00:00,8687.07,8745.52,8657.715,8722.73,8701.6175,0
Nasdaq100_CFD,IBUST100,2020-03-06 03:00:00,8722.73,8723.11,8654.635,8684.04,8688.872500000001,0
Nasdaq100_CFD,IBUST100,2020-03-06 04:00:00,8684.04,8698.435,8611.755,8673.065,8655.095,0
Nasdaq100_CFD,IBUST100,2020-03-06 16:00:00,8560.17,8598.78,8533.59,8561.815,8566.185000000001,0
Nasdaq100_CFD,IBUST100,2020-03-06 17:00:00,8561.815,8587.385,8469.375,8470.005,8528.380000000001,0
Nasdaq100_CFD,IBUST100,2020-03-06 18:00:00,8470.005,8478.04,8382.92,8416.245,8430.48,0
Nasdaq100_CFD,IBUST100,2020-03-06 19:00:00,8416.245,8433.545,8383.88,8408.52,8408.7125,0
Nasdaq100_CFD,IBUST100,2020-03-06 20:00:00,8408.52,8439.47,8341.335,8374.215,8390.4025,0
Nasdaq100_CFD,IBUST100,2020-03-06 21:00:00,8374.215,8413.67,8342.615,8394.555,8378.1425,0
Nasdaq100_CFD,IBUST100,2020-03-06 22:00:00,8394.555,8461.195,8314.635,8418.11,8387.915,0
Nasdaq100_CFD,IBUST100,2020-03-06 23:00:00,8418.11,8547.555,8401.98,8512.24,8474.7675,0
Nasdaq100_CFD,IBUST100,2020-03-07 00:00:00,8512.24,8520.095,8423.04,8438.985,8471.567500000001,0
Nasdaq100_CFD,IBUST100,2020-03-07 01:00:00,8438.985,8473.235,8387.925,8423.53,8430.58,0
Nasdaq100_CFD,IBUST100,2020-03-07 02:00:00,8423.53,8486.405,8393.545,8398.55,8439.975,0
Nasdaq100_CFD,IBUST100,2020-03-07 03:00:00,8398.55,8411.205,8327.32,8340.91,8369.2625,0
Nasdaq100_CFD,IBUST100,2020-03-07 04:00:00,8340.91,8571.655,8319.46,8522.66,8445.557499999999,0
Nasdaq100_CFD,IBUST100,2020-03-09 16:00:00,8095.18,8095.385,8095.145,8095.315,8095.265,0
Nasdaq100_CFD,IBUST100,2020-03-09 17:00:00,8095.315,8132.46,8094.615,8094.615,8113.5375,0
Nasdaq100_CFD,IBUST100,2020-03-09 18:00:00,8094.615,8094.635,8093.705,8093.81,8094.17,0
Nasdaq100_CFD,IBUST100,2020-03-09 19:00:00,8093.81,8093.88,8092.27,8093.34,8093.075000000001,0
Nasdaq100_CFD,IBUST100,2020-03-09 20:00:00,8093.34,8093.34,8093.34,8093.34,8093.34,0
Nasdaq100_CFD,IBUST100,2020-03-09 21:00:00,8056.795,8093.165,8053.04,8073.16,8073.1025,0
Nasdaq100_CFD,IBUST100,2020-03-09 22:00:00,8073.16,8176.985,8031.19,8068.355,8104.0875,0
Nasdaq100_CFD,IBUST100,2020-03-09 23:00:00,8068.355,8226.82,8046.79,8200.55,8136.805,0
Nasdaq100_CFD,IBUST100,2020-03-10 00:00:00,8200.55,8245.185,8102.795,8124.505,8173.99,0
Nasdaq100_CFD,IBUST100,2020-03-10 01:00:00,8124.505,8158.875,8002.395,8016.69,8080.635,0
Nasdaq100_CFD,IBUST100,2020-03-10 02:00:00,8016.69,8071.27,7954.855,8032.565,8013.0625,0
Nasdaq100_CFD,IBUST100,2020-03-10 03:00:00,8032.565,8099.855,7939.775,7939.78,8019.815,0
Nasdaq100_CFD,IBUST100,2020-03-10 16:00:00,8195.06,8289.625,8158.805,8288.24,8224.215,0
Nasdaq100_CFD,IBUST100,2020-03-10 17:00:00,8288.24,8338.8,8256.2,8329.655,8297.5,0
Nasdaq100_CFD,IBUST100,2020-03-10 18:00:00,8329.655,8352.43,8304.91,8336.58,8328.67,0
Nasdaq100_CFD,IBUST100,2020-03-10 19:00:00,8336.58,8337.96,8264.125,8279.885,8301.0425,0
Nasdaq100_CFD,IBUST100,2020-03-10 20:00:00,8279.885,8299.22,8178.225,8239.22,8238.7225,0
Nasdaq100_CFD,IBUST100,2020-03-10 21:00:00,8239.22,8247.795,8141.56,8194.04,8194.6775,0
Nasdaq100_CFD,IBUST100,2020-03-10 22:00:00,8194.04,8257.915,8089.46,8089.46,8173.6875,0
Nasdaq100_CFD,IBUST100,2020-03-10 23:00:00,8089.46,8143.165,7938.835,8009.05,8041.0,0
Nasdaq100_CFD,IBUST100,2020-03-11 00:00:00,8009.05,8143.415,8009.045,8094.425,8076.23,0
Nasdaq100_CFD,IBUST100,2020-03-11 01:00:00,8094.425,8165.48,8042.22,8060.355,8103.85,0
Nasdaq100_CFD,IBUST100,2020-03-11 02:00:00,8060.355,8225.885,8017.835,8201.275,8121.860000000001,0
Nasdaq100_CFD,IBUST100,2020-03-11 03:00:00,8201.275,8372.26,8190.5,8372.26,8281.380000000001,0
Nasdaq100_CFD,IBUST100,2020-03-11 16:00:00,8176.475,8248.725,8107.835,8221.85,8178.280000000001,0
Nasdaq100_CFD,IBUST100,2020-03-11 17:00:00,8221.85,8229.225,8156.395,8189.545,8192.810000000001,0
Nasdaq100_CFD,IBUST100,2020-03-11 18:00:00,8189.545,8210.43,8131.305,8183.73,8170.8675,0
Nasdaq100_CFD,IBUST100,2020-03-11 19:00:00,8183.73,8195.845,8110.105,8141.855,8152.974999999999,0
Nasdaq100_CFD,IBUST100,2020-03-11 20:00:00,8141.855,8164.98,8076.41,8082.66,8120.695,0
Nasdaq100_CFD,IBUST100,2020-03-11 21:00:00,8082.66,8219.82,8080.16,8182.855,8149.99,0
Nasdaq100_CFD,IBUST100,2020-03-11 22:00:00,8182.855,8227.505,8093.415,8118.685,8160.459999999999,0
Nasdaq100_CFD,IBUST100,2020-03-11 23:00:00,8118.685,8145.13,8070.085,8105.625,8107.6075,0
Nasdaq100_CFD,IBUST100,2020-03-12 00:00:00,8105.625,8182.085,8040.935,8062.565,8111.51,0
Nasdaq100_CFD,IBUST100,2020-03-12 01:00:00,8062.565,8073.71,8011.835,8044.98,8042.7725,0
Nasdaq100_CFD,IBUST100,2020-03-12 02:00:00,8044.98,8059.23,7968.52,7984.295,8013.875,0
Nasdaq100_CFD,IBUST100,2020-03-12 03:00:00,7984.295,8072.625,7899.43,8005.155,7986.0275,0
Nasdaq100_CFD,IBUST100,2020-03-12 16:00:00,7688.905,7723.8,7609.115,7627.82,7666.4575,0
Nasdaq100_CFD,IBUST100,2020-03-12 17:00:00,7627.82,7667.685,7601.22,7639.515,7634.4525,0
Nasdaq100_CFD,IBUST100,2020-03-12 18:00:00,7639.515,7651.165,7604.4,7650.165,7627.782499999999,0
Nasdaq100_CFD,IBUST100,2020-03-12 19:00:00,7650.165,7650.165,7603.525,7603.53,7626.844999999999,0
Nasdaq100_CFD,IBUST100,2020-03-12 20:00:00,7603.53,7603.53,7603.525,7603.53,7603.5275,0
Nasdaq100_CFD,IBUST100,2020-03-12 21:00:00,7485.65,7571.71,7329.375,7565.21,7450.5425,0
Nasdaq100_CFD,IBUST100,2020-03-12 22:00:00,7565.21,7617.895,7455.645,7587.255,7536.77,0
Nasdaq100_CFD,IBUST100,2020-03-12 23:00:00,7587.255,7587.38,7372.375,7412.105,7479.8775000000005,0
Nasdaq100_CFD,IBUST100,2020-03-13 00:00:00,7412.105,7653.705,7333.29,7595.055,7493.4974999999995,0
Nasdaq100_CFD,IBUST100,2020-03-13 01:00:00,7595.055,7817.665,7440.9,7559.69,7629.282499999999,0
Nasdaq100_CFD,IBUST100,2020-03-13 02:00:00,7559.69,7582.705,7387.43,7389.825,7485.0675,0
Nasdaq100_CFD,IBUST100,2020-03-13 03:00:00,7389.825,7475.065,7255.91,7255.91,7365.487499999999,0
Nasdaq100_CFD,IBUST100,2020-03-13 16:00:00,7532.555,7598.25,7395.89,7434.26,7497.07,0
Nasdaq100_CFD,IBUST100,2020-03-13 17:00:00,7434.26,7554.205,7391.335,7549.325,7472.77,0
Nasdaq100_CFD,IBUST100,2020-03-13 18:00:00,7549.325,7585.395,7507.19,7571.8,7546.2925,0
Nasdaq100_CFD,IBUST100,2020-03-13 19:00:00,7571.8,7626.355,7570.67,7626.355,7598.5125,0
Nasdaq100_CFD,IBUST100,2020-03-13 20:00:00,7626.355,7626.355,7626.355,7626.355,7626.355,0
Nasdaq100_CFD,IBUST100,2020-03-13 21:00:00,7683.085,7735.295,7469.375,7514.45,7602.335,0
Nasdaq100_CFD,IBUST100,2020-03-13 22:00:00,7514.45,7643.75,7448.95,7448.95,7546.35,0
Nasdaq100_CFD,IBUST100,2020-03-13 23:00:00,7448.95,7528.895,7296.835,7410.24,7412.865,0
Nasdaq100_CFD,IBUST100,2020-03-14 00:00:00,7410.24,7551.625,7339.795,7470.94,7445.71,0
Nasdaq100_CFD,IBUST100,2020-03-14 01:00:00,7470.94,7598.585,7439.585,7574.725,7519.085,0
Nasdaq100_CFD,IBUST100,2020-03-14 02:00:00,7574.725,7575.98,7405.615,7499.92,7490.7975,0
Nasdaq100_CFD,IBUST100,2020-03-14 03:00:00,7499.92,7808.415,7387.38,7808.415,7597.8975,0
Nasdaq100_CFD,IBUST100,2020-03-16 21:00:00,7128.62,7306.795,7111.355,7246.855,7209.075,0
Nasdaq100_CFD,IBUST100,2020-03-16 22:00:00,7247.23,7442.145,7169.435,7393.56,7305.790000000001,0
Nasdaq100_CFD,IBUST100,2020-03-16 23:00:00,7393.56,7555.645,7378.315,7507.73,7466.98,0
Nasdaq100_CFD,IBUST100,2020-03-17 00:00:00,7507.73,7523.92,7325.5,7352.86,7424.71,0
Nasdaq100_CFD,IBUST100,2020-03-17 01:00:00,7352.86,7417.815,7278.81,7290.68,7348.3125,0
Nasdaq100_CFD,IBUST100,2020-03-17 02:00:00,7290.68,7404.335,7219.63,7333.39,7311.9825,0
